Actualizado|REGION|TOTAL CLIENTES|SECTORES|CLIENTES SIN SERVICIO|% SIN SERVICIO
06/28/2021  04:41:00 PM|ARECIBO|     177,369|          27|         610|.34
06/28/2021  04:41:00 PM|BAYAMON|     216,496|          32|       1,440|.67
06/28/2021  04:41:00 PM|CAGUAS|     141,663|         121|       5,668|4
06/28/2021  04:41:00 PM|CAROLINA|     250,514|          26|         215|.09
06/28/2021  04:41:00 PM|MAYAGUEZ|     216,605|         134|       1,332|.61
06/28/2021  04:41:00 PM|PONCE|     212,508|          50|         758|.36
06/28/2021  04:41:00 PM|SAN JUAN|     253,068|          80|         927|.37
06/28/2021  04:41:00 PM|TOTAL|   1,468,223|         470|      10,950|.01
06/28/2021  04:48:00 PM|ARECIBO|     177,369|          29|         613|.35
06/28/2021  04:48:00 PM|BAYAMON|     216,496|          27|       1,425|.66
06/28/2021  04:48:00 PM|CAGUAS|     141,663|         122|       5,669|4
06/28/2021  04:48:00 PM|CAROLINA|     250,514|          26|         214|.09
06/28/2021  04:48:00 PM|MAYAGUEZ|     216,605|         135|       1,501|.69
06/28/2021  04:48:00 PM|PONCE|     212,508|          49|         774|.36
06/28/2021  04:48:00 PM|SAN JUAN|     253,068|          79|         926|.37
06/28/2021  04:48:00 PM|TOTAL|   1,468,223|         467|      11,122|.01
06/28/2021  04:55:00 PM|ARECIBO|     177,369|          29|         613|.35
06/28/2021  04:55:00 PM|BAYAMON|     216,496|          28|       1,426|.66
06/28/2021  04:55:00 PM|CAGUAS|     141,663|         123|       5,564|3.93
06/28/2021  04:55:00 PM|CAROLINA|     250,514|          28|         216|.09
06/28/2021  04:55:00 PM|MAYAGUEZ|     216,605|         136|       1,550|.72
06/28/2021  04:55:00 PM|PONCE|     212,508|          48|         774|.36
06/28/2021  04:55:00 PM|SAN JUAN|     253,068|          80|         632|.25
06/28/2021  04:55:00 PM|TOTAL|   1,468,223|         472|      10,775|.01
06/28/2021  04:55:00 PM|ARECIBO|     177,369|          29|         613|.35
06/28/2021  04:55:00 PM|BAYAMON|     216,496|          28|       1,426|.66
06/28/2021  04:55:00 PM|CAGUAS|     141,663|         123|       5,564|3.93
06/28/2021  04:55:00 PM|CAROLINA|     250,514|          28|         216|.09
06/28/2021  04:55:00 PM|MAYAGUEZ|     216,605|         136|       1,550|.72
06/28/2021  04:55:00 PM|PONCE|     212,508|          48|         774|.36
06/28/2021  04:55:00 PM|SAN JUAN|     253,068|          80|         632|.25
06/28/2021  04:55:00 PM|TOTAL|   1,468,223|         472|      10,775|.01
06/28/2021  05:02:00 PM|ARECIBO|     177,369|          29|         613|.35
06/28/2021  05:02:00 PM|BAYAMON|     216,496|          26|       1,424|.66
06/28/2021  05:02:00 PM|CAGUAS|     141,663|         125|       5,571|3.93
06/28/2021  05:02:00 PM|CAROLINA|     250,514|          28|         216|.09
06/28/2021  05:02:00 PM|MAYAGUEZ|     216,605|         137|       1,552|.72
06/28/2021  05:02:00 PM|PONCE|     212,508|          49|         774|.36
06/28/2021  05:02:00 PM|SAN JUAN|     253,068|          79|         177|.07
06/28/2021  05:02:00 PM|TOTAL|   1,468,223|         473|      10,327|.01
06/28/2021  05:09:00 PM|ARECIBO|     177,369|          29|         612|.35
06/28/2021  05:09:00 PM|BAYAMON|     216,496|          27|       1,425|.66
06/28/2021  05:09:00 PM|CAGUAS|     141,663|         122|       5,544|3.91
06/28/2021  05:09:00 PM|CAROLINA|     250,514|          27|         248|.1
06/28/2021  05:09:00 PM|MAYAGUEZ|     216,605|         138|       1,511|.7
06/28/2021  05:09:00 PM|PONCE|     212,508|          49|         774|.36
06/28/2021  05:09:00 PM|SAN JUAN|     253,068|          79|         177|.07
06/28/2021  05:09:00 PM|TOTAL|   1,468,223|         471|      10,291|.01
