Actualizado,REGION,TOTAL CLIENTES,SECTORES,CLIE NTES SIN SERVICIO,% SIN SERVICIO
06/28/2021  02:07:00 PM,ARECIBO,"     177,369",          27,"       1,312",.74
06/28/2021  02:07:00 PM,BAYAMON,"     216,496",          33,"       1,333",.62
06/28/2021  02:07:00 PM,CAGUAS,"     141,663",         125,"       5,948",4.2
06/28/2021  02:07:00 PM,CAROLINA,"     250,514",          25,          58,.02
06/28/2021  02:07:00 PM,MAYAGUEZ,"     216,605",         154,"       1,621",.75
06/28/2021  02:07:00 PM,PONCE,"     212,508",          47,         955,.45
06/28/2021  02:07:00 PM,SAN JUAN,"     253,068",          82,"       1,052",.42
06/28/2021  02:07:00 PM,TOTAL,"   1,468,223",         493,"      12,279",.01
06/28/2021  02:14:00 PM,ARECIBO,"     177,369",          28,"       1,313",.74
06/28/2021  02:14:00 PM,BAYAMON,"     216,496",          27,"       1,779",.82
06/28/2021  02:14:00 PM,CAGUAS,"     141,663",         121,"       5,944",4.2
06/28/2021  02:14:00 PM,CAROLINA,"     250,514",          25,          58,.02
06/28/2021  02:14:00 PM,MAYAGUEZ,"     216,605",         155,"       1,591",.73
06/28/2021  02:14:00 PM,PONCE,"     212,508",          49,         957,.45
06/28/2021  02:14:00 PM,SAN JUAN,"     253,068",          82,"       1,052",.42
06/28/2021  02:14:00 PM,TOTAL,"   1,468,223",         487,"      12,694",.01
06/28/2021  02:21:00 PM,ARECIBO,"     177,369",          32,"       1,320",.74
06/28/2021  02:21:00 PM,BAYAMON,"     216,496",          24,"       1,777",.82
06/28/2021  02:21:00 PM,CAGUAS,"     141,663",         120,"       5,943",4.2
06/28/2021  02:21:00 PM,CAROLINA,"     250,514",          25,          58,.02
06/28/2021  02:21:00 PM,MAYAGUEZ,"     216,605",         157,"       1,593",.74
06/28/2021  02:21:00 PM,PONCE,"     212,508",          49,         957,.45
06/28/2021  02:21:00 PM,SAN JUAN,"     253,068",          81,         985,.39
06/28/2021  02:21:00 PM,TOTAL,"   1,468,223",         488,"      12,633",.01
06/28/2021  02:28:00 PM,ARECIBO,"     177,369",          35,"       1,557",.88
06/28/2021  02:28:00 PM,BAYAMON,"     216,496",          29,"       1,958",.9
06/28/2021  02:28:00 PM,CAGUAS,"     141,663",         122,"       5,945",4.2
06/28/2021  02:28:00 PM,CAROLINA,"     250,514",          26,         755,.3
06/28/2021  02:28:00 PM,MAYAGUEZ,"     216,605",         158,"       1,615",.75
06/28/2021  02:28:00 PM,PONCE,"     212,508",          50,         959,.45
06/28/2021  02:28:00 PM,SAN JUAN,"     253,068",          81,         985,.39
06/28/2021  02:28:00 PM,TOTAL,"   1,468,223",         501,"      13,774",.01
06/28/2021  02:35:00 PM,ARECIBO,"     177,369",          44,"       1,561",.88
06/28/2021  02:35:00 PM,BAYAMON,"     216,496",          35,"       2,015",.93
06/28/2021  02:35:00 PM,CAGUAS,"     141,663",         127,"       5,950",4.2
06/28/2021  02:35:00 PM,CAROLINA,"     250,514",          26,         755,.3
06/28/2021  02:35:00 PM,MAYAGUEZ,"     216,605",         140,"       1,504",.69
06/28/2021  02:35:00 PM,PONCE,"     212,508",          52,         960,.45
